Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
11/26/2013,26,November,2013,19,Youth (<25),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
11/26/2015,26,November,2015,19,Youth (<25),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
3/23/2014,23,March,2014,49,Adults (35-64),Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1366,1035,2401
3/23/2016,23,March,2016,49,Adults (35-64),Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,20,45,120,1188,900,2088
5/15/2014,15,May,2014,47,Adults (35-64),Female,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418
5/15/2016,15,May,2016,47,Adults (35-64),Female,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522
5/22/2014,22,May,2014,47,Adults (35-64),Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,199,180,379
5/22/2016,22,May,2016,47,Adults (35-64),Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,100,90,190
2/22/2014,22,February,2014,35,Adults (35-64),Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1096,990,2086
2/22/2016,22,February,2016,35,Adults (35-64),Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1046,945,1991
7/30/2013,30,July,2013,32,Young Adults (25-34),Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,398,360,758
7/30/2015,30,July,2015,32,Young Adults (25-34),Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,398,360,758
7/15/2013,15,July,2013,34,Young Adults (25-34),Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,349,315,664
7/15/2015,15,July,2015,34,Young Adults (25-34),Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,349,315,664
8/2/2013,2,August,2013,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
8/2/2015,2,August,2015,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832
9/2/2013,2,September,2013,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
9/2/2015,2,September,2015,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
1/22/2014,22,January,2014,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
1/22/2016,22,January,2016,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
5/17/2014,17,May,2014,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
5/17/2016,17,May,2016,29,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
3/27/2014,27,March,2014,51,Adults (35-64),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,524,405,929
3/27/2016,27,March,2016,51,Adults (35-64),Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722
8/25/2013,25,August,2013,49,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356
8/25/2015,25,August,2015,49,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
12/26/2013,26,December,2013,49,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
12/26/2015,26,December,2015,49,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
1/2/2014,2,January,2014,48,Adults (35-64),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,295,180,475
1/2/2016,2,January,2016,48,Adults (35-64),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,295,180,475
3/13/2014,13,March,2014,48,Adults (35-64),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,20,45,120,1476,900,2376
3/13/2016,13,March,2016,48,Adults (35-64),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1624,990,2614
5/23/2014,23,May,2014,47,Adults (35-64),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,24,45,120,1771,1080,2851
5/23/2016,23,May,2016,47,Adults (35-64),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1697,1035,2732
7/19/2013,19,July,2013,32,Young Adults (25-34),Female,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,524,405,929
7/19/2015,19,July,2015,32,Young Adults (25-34),Female,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,524,405,929
11/11/2013,11,November,2013,34,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,25,45,120,1845,1125,2970
11/11/2015,11,November,2015,34,Young Adults (25-34),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1697,1035,2732
7/13/2013,13,July,2013,43,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,726,450,1176
7/13/2015,13,July,2015,43,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,726,450,1176
3/31/2014,31,March,2014,43,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,799,495,1294
3/31/2016,31,March,2016,43,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,799,495,1294
8/28/2013,28,August,2013,61,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,581,360,941
8/28/2015,28,August,2015,61,Adults (35-64),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,726,450,1176
8/27/2013,27,August,2013,57,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
8/27/2015,27,August,2015,57,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
11/17/2013,17,November,2013,29,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,886,540,1426
11/17/2015,17,November,2015,29,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,14,45,120,1033,630,1663
8/7/2013,7,August,2013,38,Adults (35-64),Male,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,160,135,295
8/7/2015,7,August,2015,38,Adults (35-64),Male,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,53,45,98
7/15/2013,15,July,2013,52,Adults (35-64),Female,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787
7/15/2015,15,July,2015,52,Adults (35-64),Female,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787
8/17/2013,17,August,2013,43,Adults (35-64),Female,France,Moselle,Accessories,Bike Racks,Hitch Rack - 4-Bike,28,45,120,1697,1260,2957
8/17/2015,17,August,2015,43,Adults (35-64),Female,France,Moselle,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1636,1215,2851
7/17/2013,17,July,2013,24,Youth (<25),Female,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,502,405,907
7/17/2015,17,July,2015,24,Youth (<25),Female,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,335,270,605
12/31/2013,31,December,2013,23,Youth (<25),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706
12/31/2015,31,December,2015,23,Youth (<25),Male,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823
9/17/2013,17,September,2013,29,Young Adults (25-34),Female,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1053,675,1728
9/17/2015,17,September,2015,29,Young Adults (25-34),Female,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1053,675,1728
9/24/2013,24,September,2013,32,Young Adults (25-34),Male,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,356,270,626
9/24/2015,24,September,2015,32,Young Adults (25-34),Male,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313
9/25/2013,25,September,2013,19,Youth (<25),Female,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,320,270,590
9/25/2015,25,September,2015,19,Youth (<25),Female,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787
11/26/2013,26,November,2013,26,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832
11/26/2015,26,November,2015,26,Young Adults (25-34),Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
8/3/2013,3,August,2013,35,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
8/3/2015,3,August,2015,35,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
6/19/2014,19,June,2014,35,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,738,450,1188
6/19/2016,19,June,2016,35,Adults (35-64),Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,886,540,1426
3/4/2014,4,March,2014,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,290,180,470
3/4/2016,4,March,2016,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353
5/30/2014,30,May,2014,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,145,90,235
5/30/2016,30,May,2016,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,145,90,235
6/28/2014,28,June,2014,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,726,450,1176
6/28/2016,28,June,2016,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823
7/10/2014,10,July,2014,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,13,45,120,944,585,1529
7/10/2016,10,July,2016,38,Adults (35-64),Female,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,871,540,1411
